"BANYAN", "ROSE", "DOG", "EAGLE", "BUTTERFLY",
    "Large Tree", "Pink Petals", "eats food", "walks for food", "typical exoskeleton",
    "Strong Bark", "Photosynthesis in daytime", "breathes rapidly", "flies high", "fly all around",
    "Multiple Barks", "Awesome Fragrance", "reproduces pups", "big beak", "breathes flower air",
    "Hanging Roots", "Red Petals", "has hair", "superior feathers", "produces eggs",
    "Big Leaves", "Leaves are Pointy", "walks daily", "reproduces by eggs", "has multi-lings",
    "Spreads Big", "Thorns", "Licks when happy", "breathes through beak", "bones make up exoskeleton",
    "Provides Shed", "Is a shrub", "Eats full time", "eats non-veg", "reproduce frequently",
    "Cannot Move", "performs Photosynthesis", "hair is fluffy", "Territorial Birds", "Eat flower nectar",
    "Large Roots", "found in gardens", "loves bones", "skin belo feathers", "Beautiful",
    "Strong wood", "Low maintenance", "best companion", "have hollow bones", "walks sometimes",